Meter,Days Connected,Days Disconnected
001005CC,,2016-02-26
001005CC,,2016-02-27
001005CC,,2016-02-28
001005CC,,2016-02-29
001005CC,,2016-03-01
001005CC,,2016-03-02
001005CC,,2016-03-03
001005CC,,2016-03-04
001005CC,,2016-03-05
001005CC,,2016-03-06
001005CC,,2016-03-07
001005CC,,2016-03-08
0010074B,,2016-02-10
0010074B,,2016-02-11
0010074B,,2016-02-12
0010074B,,2016-02-13
0010074B,,2016-02-14
0010074B,,2016-02-15
0010074B,,2016-02-16
0010074B,,2016-02-17
0010074B,,2016-02-18
0010074B,,2016-02-19
0010074B,,2016-02-20
0010074B,,2016-02-21
0010074B,,2016-02-22
0010074B,,2016-02-23
0010074B,,2016-02-24
0010074B,,2016-02-25
0010074B,,2016-02-26
0010074B,,2016-02-27
0010074B,,2016-02-28
0010074B,,2016-02-29
0010074B,,2016-03-01
0010074B,,2016-03-02
0010074B,,2016-03-03
0010074B,,2016-03-04
0010074B,,2016-03-05
0010074B,,2016-03-06
0010074B,,2016-03-07
0010074B,,2016-03-08
001007DB,2016-02-10,2016-02-13
001007DB,2016-02-11,2016-02-16
001007DB,2016-02-12,2016-02-17
001007DB,2016-02-14,2016-02-18
001007DB,2016-02-15,2016-02-19
001007DB,2016-02-23,2016-02-20
001007DB,2016-02-27,2016-02-21
001007DB,2016-02-28,2016-02-22
001007DB,2016-02-29,2016-02-24
001007DB,2016-03-01,2016-02-25
001007DB,2016-03-03,2016-02-26
001007DB,2016-03-04,2016-03-02
001007DB,,2016-03-05
001007DB,,2016-03-06
001007DB,,2016-03-07
001007EB,,2016-02-09
001007EB,,2016-02-10
001007EB,,2016-02-11
001007EB,,2016-02-12
001007EB,,2016-02-13
001007EB,,2016-02-14
001007EB,,2016-02-15
001007EB,,2016-02-16
001007EB,,2016-02-17
001007EB,,2016-02-18
001007EB,,2016-02-19
001007EB,,2016-02-20
001007EB,,2016-02-21
001007EB,,2016-02-22
001007EB,,2016-02-23
001007EB,,2016-02-24
001007EB,,2016-02-25
001007EB,,2016-02-26
001007EB,,2016-02-27
001007EB,,2016-02-28
001007EB,,2016-02-29
001007EB,,2016-03-01
001007EB,,2016-03-02
001007EB,,2016-03-03
001007EB,,2016-03-04
001007EB,,2016-03-05
001007EB,,2016-03-06
001007EB,,2016-03-07
001007EB,,2016-03-08
001007EB,,2016-03-09
00100805,,2016-02-09
00100805,,2016-02-10
00100805,,2016-02-11
00100805,,2016-02-12
00100805,,2016-02-13
00100805,,2016-02-14
00100805,,2016-02-15
00100805,,2016-02-16
00100805,,2016-02-17
00100805,,2016-02-18
00100805,,2016-02-19
00100805,,2016-02-20
00100805,,2016-02-21
00100805,,2016-02-22
00100805,,2016-02-23
00100805,,2016-02-24
00100805,,2016-02-25
00100805,,2016-02-26
00100805,,2016-02-27
00100805,,2016-02-28
00100805,,2016-02-29
00100805,,2016-03-01
00100805,,2016-03-02
00100805,,2016-03-03
00100805,,2016-03-04
00100805,,2016-03-05
00100805,,2016-03-06
00100805,,2016-03-07
00100805,,2016-03-08
00100832,,2016-02-09
00100832,,2016-02-10
00100832,,2016-02-11
00100832,,2016-02-12
00100832,,2016-02-13
00100832,,2016-02-14
00100832,,2016-02-15
00100832,,2016-02-16
00100832,,2016-02-17
00100832,,2016-02-18
00100832,,2016-02-19
00100832,,2016-02-20
00100832,,2016-02-21
00100832,,2016-02-22
00100832,,2016-02-23
00100832,,2016-02-24
00100832,,2016-02-25
00100832,,2016-02-26
00100832,,2016-02-27
00100832,,2016-02-28
